OSM,Gottingen
Schulstraße,Schillerstraße
Levinpark,Levinstraße
Pappelhof,Pappelweg
Nelkenweg,Nelkenwinkel
Götzenbreite,Steinbreite
Pannstieg,Wagenstieg
Mehlbehrenallee,Siekhöhenallee
Über der Esebeecke,Über der Esebeeke
Charlottenburger Weg,Charlottenburger Straße
Bütemeisterweg,Pütterweg
Holunderweg,Holundersteg
Auf dem Höbel,Auf dem Hagen
Im Dannensee,Innersteweg
Auf dem Thie,Auf dem Bui
Bornwiese,Orthwiesen
Stralsunder Straße,Stralsunder Weg
Weimarer Weg,Weimarer Straße
Am Friedhof,Am Holtenser Friedhof
Im Kampe,Im Tale
Göttinger Straße,Böttingerstraße
Lange Geismarstraße,Lange-Geismar-Straße
Grotefend-Wall,Grotefendstraße
Im Dorfe,Im Dorn
Breiter Weg,Brieger Weg
Eselsteg,Egelsberg
Rehbach,Rehbachstraße
Greifswalder Straße,Greifswalder Weg
Am Korbhofe,Am Ebelhof
Feldscheideweg,An der Feldscheide
Springweg,Sprangerweg
Mühlentorstraße,Mühlenstraße
An der Garte,An der Tränke
Gerberstieg,Kleestieg
Im Hohenrott,Im Rinschenrott
Kiefernberg,Kiefernweg
Hinter dem Lohberge,Auf dem Lohberge
Großer Talsweg,Grasweg
Schinderkuhlenweg,Tonkuhlenweg
Im Burgfeld,Im Südfeld
Rosenweg,Rasenweg
Sudetenlandstraße,Sudetenland-Straße
Adolf-Elissen-Weg,Adolf-Ellissen-Weg
An der Autobahn,An der Seune
Stoeckenweg,Glockenweg
Plessestraße,Kiesseestraße
Mühlendamm,Mühlenstraße
Am Schmalenberg,Am Papenberg
Wartbergring,Kreuzbergring
Wasserbreite,Wakenbreite
Wartbergweg,Wartburgweg
Tripkenstieg,Wagenstieg
Am Kaufpark,Am Kauf Park
Mühlenberg,Mühlenbergsweg
Am Mackenröder Weg,Mackenröder Spitze
Friedhofsweg,Frieseweg
Forstweg,Försterweg
Kolberger Straße,Königsberger Straße
Mittelweg,Mittelberg
Alte Straße,Rote Straße
Säuleneichenallee,Siekhöhenallee
Dammwiesen,Gallwiese
Mühlengrund,Am Mühlengraben
Lange Linie,Lange Straße
Hambergring,Stauffenbergring
Roederestraße,Roedererstraße
Oberer Elstalsweg,Oberer Reekenweg
Eisenwerk,Eibenweg
Am Stollen,Am Sölenborn
Doppelkanalweg,Pappelweg
Hölderlinstraße,Hildebrandstraße
Olenhuser Landstraße,Reinhäuser Landstraße
Lehmkuhle,In der Lehmkuhle
Raseweg,Rasenweg
Reinshof,Lehnshof
Wegelange,Reesenanger
Feldtorweg,Fliederweg
Wendelsweg,Menzelweg
Zum Hessenberg,Zum Kükenberg
Am Felsenkeller,Am Menzelberg
Alte Bundesstraße,Wendenstraße
Marienburger Straße,Kreuzburger Straße
Reinhäuser Straße,Reinhäuser Landstraße
Tiefenbrunner Straße,Weender Straße
Hochwaldstraße,Ewaldstraße
An der Ziegelei,An der Springmühle
Weinbergweg,Hardenbergweg
Dienstköpfestraße,Deisterstraße
Griesebachstraße,Grisebachstraße
Quartiersplatz,Theaterplatz
Göttinger Landstraße,Groner Landstraße
Leine Radfernweg,Lindenweg
Neuer Bekweg,Neuer Weg
An der Kirche,An der Thomaskirche
Am Pfarrgarten,Am Markgraben
Am Weinberg,Am Winterberg
Saubergstraße,Mauerstraße
Über dem Hainholzgraben,Über dem Dorfe
Am Weinberge,Am Winterberg
Lindenstraße,Leinestraße
Bratental,Brentanoweg
Auf der Feldscheide,An der Feldscheide
Niedecker Stieg,Esebecker Straße
Holtenser Straße,Holtenser Landstraße
Göttingen West,Böttingerstraße
Otto-Reinbold-Straße,Otto-Hahn-Straße
Sohnreystraße,Thiestraße
Albaniwall,Albaniplatz
Adam-von-Trott-Weg,James-Graf-von-Moltke-Weg
Zum Sohnsfelde,Zum Sonsfelde
Ludwig-Prandtl-Allee,Ludwig-Prandtl-Straße
Triftweg,Trift
Spickenweg,Finkenweg
Mistweg,Distelweg
Hohenrodtsweg,Rohnsweg
Schlachthofweg,Schlachthofstraße
An der Wellbrücke,An der Tränke
Oberer Hainberg,Oberfeldring
Schleeweg,Schlegelweg
Rosenbaumweg,Rosenbachweg
Lohweg,Kohlweg
Henry-Dunant-Straße,Henri-Dunant-Straße
Bergstraße,Bergenstraße
Privatstraße,Parisstraße
Eselsstieg,Ederstieg
Weidenweg,Weißdornweg
Papenstieg,Wagenstieg
Wilhelm-Bendick-Straße,Wilhelm-Berg-Straße
Ahornweg,Ahornsteg
Gatzenberg,Glatzer Weg
Eichenkrug,Eichweg
Am Hopfenberge,Am Papenberg
Platanenallee,Lindenallee
Schwarzer Weg,Schweidnitzer Weg
Am Schießstand,Am Schäferstein
Hoher Weg,Nordhäuser Weg
Am Luhbach,Am Hachweg
Elstalsweg,Wiesentalsweg
Horstbaumstraße,Hospitalstraße
Unterer Mittelbergsweg,Unterer Reekenweg
Unterer Elstalsweg,Unterer Reekenweg
Harster Berg,Roter Berg
Zum Gelenberg,Zum Kuhlenberg
Hambergstraße,Cramerstraße
Weg 4 - Grüner Weg,Grüner Weg
An der Rotte,An der Lutter
Vor dem Tore,Vor dem Walde
Vor der Bruck,Vor dem Berge
Schöneberger Weg,Schöneberger Straße
Bachbreite,Eschenbreite
Höchtigeweg,Hartriegelweg
An der Kapelle,In der Klappe
Bahnhofstraße,Jahnstraße
Oberer Mühlenteich,Obere Mühle
Im Bache,Im Bruche
Flachsrotte,Flachsrotten
Blumenweg,Ulmenweg
Hinter dem Dorfe,Über dem Dorfe
Eibenwald,Eibenweg
Berghofstraße,Bergenstraße
Gänseberg,Ginsterweg
Clobesbreite,Silberbreite
Alte Heerstraße,Allerstraße
Hagenbreite,Galgenbreite
Lange Geismar-Straße,Lange-Geismar-Straße
Obere Mühlenstraße,Mühlenstraße
Untere Straße,Düstere Straße
Oberer Wiesentalsweg,Wiesentalsweg
Schanzenweg,Schlagenweg
Klappfeldstraße,Kampstraße
Gartenweg,Hirtenweg
Schwarze Gasse,Schäfergasse
Ostlandstraße,Planckstraße
Esebecker Weg,Eislebener Weg
An der Harste,An der Insel
Drewesweg,Arbecksweg
An der Brücke,An der Tränke
Spritweg,Greitweg
Helsweg,Helweg
Elsa-Brandström-Weg,Elsa-Brändström-Weg
Steinflurweg,Steinweg
Am Anger,Am Böhnanger
Friedrich-Münter-Straße,Friedrich-Jenner-Straße
Im Dörmke,Am Dörpe
im Dorfe,Im Dorn
Am Großen Sieke,Im Großen Feld
Vor den Klappen,In der Klappe
Westerbergstraße,Weserstraße
Uhlenloch,Eulenloch
Über den Kohlhöfen,Über den Höfen
Obere Gasse,Obere Karspüle
Schneeballweg,Schulweg
Am Kückenberg,Zum Kükenberg
Niedere Kirchstraße,Friedrichstraße
Am Weendebach,Am Gewende
Spandauer Straße,Spandauer Weg
Bahngasse,Brunnengasse
Am Göttgenberg,Am Papenberg
Lerchenfeld,Lärchenweg
An der Rase,An der Insel
Kirchgrundsweg,Wichernweg
Walter-Nernst-Weg,Walther-Nernst-Weg
Raiffeisenstraße,Wiesenstraße
Königsweg,Königsstieg
Im Kohlhof,Kohlhofsweg
Zum Dachsberg,Zum Kuhberg
Goethestraße,Lotzestraße
Zur Alten Ziegelei,Zur Akelei
Wartberg-Kreisel,Am Warteberge
Am Westerberg,Am Winterberg
Am Teichhof,Am Teiche
Petroslilienstraße,Petrosilienstraße
Knopensteg,Sonnenstieg
Graseweg,Grasweg
An der Wakenbreite,Vor der Laakenbreite
Steinslieth,Steinbreite
Olenhusen,Olenhuser Weg
Ascherberg,Eschenbergweg
Lange Hecke,Lange Rekesweg
Am Hohlen Wege,Hohle Reeke
Rudolf-Wissel-Straße,Rudolf-Wissell-Straße
Hirtengasse,Hirtenweg
Herdingeröderweg,Goerdelerweg
Heeresstraße,Beyerstraße
August-Lange-Straße,August-Spindler-Straße
Landstraße,Londonstraße
Höbelweg,Helweg
Am Scheunenhof,Am Junkernhof
Kaiserallee,Königsallee
Birkenallee,Lindenallee
Untere Mühlenstraße,Mühlenstraße
Gelliehäuser Straße,Ulrideshuser Straße
Kleine Lehmkuhle,In der Lehmkuhle
Rathausplatz,Sachsenplatz
Stadtweg,Am Stadtweg
Steinsmühle,Gartemühle
Am Kreuzsteine,Am Kreuze
Panzerstraße,Paulinerstraße
Kleines Feld,Kleines Wasser
Carl-Hasselbach-Straße,Carl-Mahr-Straße
Anlaufweg,Windausweg
Elsbeerring,Weperring
Rischenweg,Eschenweg
Bovender Straße,Weender Straße
Pfingstanger,Am Pfingstanger
Holzweg,Hainholzweg
Vom-Stein-Straße,Von-Siebold-Straße
Am Diemardener Thie,Am Geismar Thie
Brandenburger Straße,Kreuzburger Straße
In den Wiesen,An den Weiden
Siekhöhenallee/Siekweg,Siekhöhenallee
Erdbrustweg,Ederstieg
Zehntenstraße,Wendenstraße
Roringer Stieg,Roringer Winkel
Reekenweg,Reinkeweg
Heinrich-Albert-Zachariä-Bogen,Heinrich-A.-Zachariä-Bogen
Sonnenstein,Sonnenstieg
Osterbergstraße,Oesterleystraße
Harster Straße,Düstere Straße
Zum Hopfenberg,Zum Kükenberg
Schlehdornweg,Am Schlehdorn
Ruprechtweg,Burckhardtweg
Osterberg,Asternweg
Hinter dem Hamberge,Unterm Hoppenberge
Mauerhof,Meierhof
Dransfelder Rampe,Dransfelder Straße
Heinrich-Deppe-Weg,Heinrich-Düker-Weg
Gottfried-Smidt-Straße,Goldschmidtstraße
In der Laake,In der Klappe
Weingartenstraße,Wendenstraße
Zum Lengder Grund,Zum Leineufer
Am Freibad,Am Groner Freibad
Friedebreite,Weidenbreite
Ulmenstraße,Mühlenstraße
Alte Dorfstraße,Untere Dorfstraße
Thieplatz,Theaterplatz
Mengershäuser Weg,Hetjershäuser Weg
Alte Landstraße,Holtenser Landstraße
Hakenborner Weg,Waldenburger Weg
An den Rotten,An der Lutter
Klostergut,Klosterweg
Potsdamer Straße,Rote Straße
Hempelgasse,Holzgasse
Auf dem Anger,Auf dem Hagen
Hopfenstieg,Höfestieg
Siedlungsweg,Siekweg
Sonnenberg,Sonnenstieg
Waterloostraße,Wagnerstraße
Gehrenweg,Gleichenweg
Wattenbergsweg,Hardenbergweg
Hohes Feld,Hohe Linde
Hinter dem Teiche,Hinterm Knick
Walter-Engelhardt-Weg,Philippine-Engelhardt-Weg
Eichenweg,Eschenweg
Kempelbergstraße,Keplerstraße
Mühlenweg,Mühlenbergsweg
Zur Lemse,Zur Quelle
Im Kleie,Im Kolke
Auf dem Kirchberg,Auf dem Lohberge
Mahntweg,Mohnstieg
Raseanger,Reesenanger
Ahornallee,Ahornsteg
Augustiner Straße,Augustinerstraße
Am Kellberg,Am Menzelberg
Paradiesweg,Primelweg
Kramberg,Brombeerweg
Hinter den Wiesen,Unter den Linden
K.-Scheele-Weg,Schneidemühler Weg
An den Teichen,An den Weiden
Tränkegasse,Bäckergasse
Zur Rasemühle,Zur Scharfmühle
Fehrlingser Weg,Meininger Weg
Auf dem Strautberg,Auf dem Steinacker
Steffensweg,Steinweg
Duderstädter Weg,Dingelstädter Weg
Obere Strautweg,In der Straut
Ettbergweg,Pütterweg
Kornmarkt-Passage,Kornmarkt
Wartbergstraße,Wagnerstraße
Ketzhagen,Kreuzanger
Vor dem Warteberge,Vor dem Berge
Firstweg,Försterweg
An der Stupe,An der Seune
Jendelstraße,Zindelstraße
Am Heimchen Stein,Am Weißen Steine
Grünberger Straße,Groner Straße
Wilhelm-Evers-Straße,Wilhelm-Berg-Straße
Strautweg,Brauweg
Neue Heerstraße,Weserstraße
Helleweg,Hölleweg
Erbecksweg,Arbecksweg
Weissdornweg,Weißdornweg
Auf dem Plane,Auf dem Paul
An der Dehne,An der Seune
Herrmann-Hanker-Straße,Hermann-Hanker-Straße
Schmiedeweg,Schildweg
Im Erbecke,Im Körbchen
Am Thieberg,Thieberg
Zierkirschenallee,Siekhöhenallee
Mackenröder Stieg,Mackenröder Spitze
Heisterweg,Ginsterweg
Oberdorf,Über dem Dorfe
Grabenbreite,Traubenbreite
Hohe-Rott-Weg,Sophie-Kunert-Weg
Lindenhof,Lehnshof
Fahlenbuschstraße,Blumenbachstraße
Dorfstraße,Dürrstraße
Im Sieke,Im Beeke
Am Junkernberge,Am Winterberg
Dermeckestraße,Merkelstraße
Olenhusener Landstraße,Reinhäuser Landstraße
Heinestraße,Leinestraße
Thorner Straße,Groner Straße
Über der Lehmkuhle,In der Lehmkuhle
Aeckernweg,Zedernweg
Brennewiensgasse,Brunnengasse
