OSM,Gottingen,Change
Schulstraße,Schillerstraße,False
Levinpark,Levinstraße,False
Pappelhof,Pappelweg,False
Nelkenweg,Nelkenwinkel,False
Götzenbreite,Steinbreite,False
Pannstieg,Wagenstieg,False
Mehlbehrenallee,Siekhöhenallee,False
Über der Esebeecke,Über der Esebeeke,True
Charlottenburger Weg,Charlottenburger Straße,False
Bütemeisterweg,Pütterweg,False
Holunderweg,Holundersteg,False
Auf dem Höbel,Auf dem Hagen,False
Im Dannensee,Innersteweg,False
Auf dem Thie,Auf dem Bui,False
Bornwiese,Orthwiesen,False
Stralsunder Straße,Stralsunder Weg,False
Weimarer Weg,Weimarer Straße,False
Am Friedhof,Am Holtenser Friedhof,False
Im Kampe,Im Tale,False
Göttinger Straße,Böttingerstraße,False
Lange Geismarstraße,Lange-Geismar-Straße,True
Grotefend-Wall,Grotefendstraße,False
Im Dorfe,Im Dorn,False
Breiter Weg,Brieger Weg,False
Eselsteg,Egelsberg,False
Rehbach,Rehbachstraße,False
Greifswalder Straße,Greifswalder Weg,False
Am Korbhofe,Am Ebelhof,False
Feldscheideweg,An der Feldscheide,False
Springweg,Sprangerweg,False
Mühlentorstraße,Mühlenstraße,False
An der Garte,An der Tränke,False
Gerberstieg,Kleestieg,False
Im Hohenrott,Im Rinschenrott,False
Kiefernberg,Kiefernweg,False
Hinter dem Lohberge,Auf dem Lohberge,False
Großer Talsweg,Grasweg,False
Schinderkuhlenweg,Tonkuhlenweg,False
Im Burgfeld,Im Südfeld,False
Rosenweg,Rasenweg,False
Sudetenlandstraße,Sudetenland-Straße,True
Adolf-Elissen-Weg,Adolf-Ellissen-Weg,True
An der Autobahn,An der Seune,False
Stoeckenweg,Glockenweg,False
Plessestraße,Kiesseestraße,False
Mühlendamm,Mühlenstraße,False
Am Schmalenberg,Am Papenberg,False
Wartbergring,Kreuzbergring,False
Wasserbreite,Wakenbreite,False
Wartbergweg,Wartburgweg,False
Tripkenstieg,Wagenstieg,False
Am Kaufpark,Am Kauf Park,True
Mühlenberg,Mühlenbergsweg,False
Am Mackenröder Weg,Mackenröder Spitze,False
Friedhofsweg,Frieseweg,False
Forstweg,Försterweg,False
Kolberger Straße,Königsberger Straße,False
Mittelweg,Mittelberg,False
Alte Straße,Rote Straße,False
Säuleneichenallee,Siekhöhenallee,False
Dammwiesen,Gallwiese,False
Mühlengrund,Am Mühlengraben,False
Lange Linie,Lange Straße,False
Hambergring,Stauffenbergring,False
Roederestraße,Roedererstraße,True
Oberer Elstalsweg,Oberer Reekenweg,False
Eisenwerk,Eibenweg,False
Am Stollen,Am Sölenborn,False
Doppelkanalweg,Pappelweg,False
Hölderlinstraße,Hildebrandstraße,False
Olenhuser Landstraße,Reinhäuser Landstraße,False
Lehmkuhle,In der Lehmkuhle,False
Raseweg,Rasenweg,False
Reinshof,Lehnshof,False
Wegelange,Reesenanger,False
Feldtorweg,Fliederweg,False
Wendelsweg,Menzelweg,False
Zum Hessenberg,Zum Kükenberg,False
Am Felsenkeller,Am Menzelberg,False
Alte Bundesstraße,Wendenstraße,False
Marienburger Straße,Kreuzburger Straße,False
Reinhäuser Straße,Reinhäuser Landstraße,False
Tiefenbrunner Straße,Weender Straße,False
Hochwaldstraße,Ewaldstraße,False
An der Ziegelei,An der Springmühle,False
Weinbergweg,Hardenbergweg,False
Dienstköpfestraße,Deisterstraße,False
Griesebachstraße,Grisebachstraße,True
Quartiersplatz,Theaterplatz,False
Göttinger Landstraße,Groner Landstraße,False
Leine Radfernweg,Lindenweg,False
Neuer Bekweg,Neuer Weg,False
An der Kirche,An der Thomaskirche,False
Am Pfarrgarten,Am Markgraben,False
Am Weinberg,Am Winterberg,False
Saubergstraße,Mauerstraße,False
Über dem Hainholzgraben,Über dem Dorfe,False
Am Weinberge,Am Winterberg,False
Lindenstraße,Leinestraße,False
Bratental,Brentanoweg,False
Auf der Feldscheide,An der Feldscheide,False
Niedecker Stieg,Esebecker Straße,False
Holtenser Straße,Holtenser Landstraße,False
Göttingen West,Böttingerstraße,False
Otto-Reinbold-Straße,Otto-Hahn-Straße,False
Sohnreystraße,Thiestraße,False
Albaniwall,Albaniplatz,False
Adam-von-Trott-Weg,James-Graf-von-Moltke-Weg,False
Zum Sohnsfelde,Zum Sonsfelde,True
Ludwig-Prandtl-Allee,Ludwig-Prandtl-Straße,False
Triftweg,Trift,False
Spickenweg,Finkenweg,False
Mistweg,Distelweg,False
Hohenrodtsweg,Rohnsweg,False
Schlachthofweg,Schlachthofstraße,False
An der Wellbrücke,An der Tränke,False
Oberer Hainberg,Oberfeldring,False
Schleeweg,Schlegelweg,False
Rosenbaumweg,Rosenbachweg,False
Lohweg,Kohlweg,False
Henry-Dunant-Straße,Henri-Dunant-Straße,True
Bergstraße,Bergenstraße,False
Privatstraße,Parisstraße,False
Eselsstieg,Ederstieg,False
Weidenweg,Weißdornweg,False
Papenstieg,Wagenstieg,False
Wilhelm-Bendick-Straße,Wilhelm-Berg-Straße,False
Ahornweg,Ahornsteg,False
Gatzenberg,Glatzer Weg,False
Eichenkrug,Eichweg,False
Am Hopfenberge,Am Papenberg,False
Platanenallee,Lindenallee,False
Schwarzer Weg,Schweidnitzer Weg,False
Am Schießstand,Am Schäferstein,False
Hoher Weg,Nordhäuser Weg,False
Am Luhbach,Am Hachweg,False
Elstalsweg,Wiesentalsweg,False
Horstbaumstraße,Hospitalstraße,False
Unterer Mittelbergsweg,Unterer Reekenweg,False
Unterer Elstalsweg,Unterer Reekenweg,False
Harster Berg,Roter Berg,False
Zum Gelenberg,Zum Kuhlenberg,False
Hambergstraße,Cramerstraße,False
Weg 4 - Grüner Weg,Grüner Weg,False
An der Rotte,An der Lutter,False
Vor dem Tore,Vor dem Walde,False
Vor der Bruck,Vor dem Berge,False
Schöneberger Weg,Schöneberger Straße,False
Bachbreite,Eschenbreite,False
Höchtigeweg,Hartriegelweg,False
